date,level
1976,372266.6667
1977,386129.1667
1978,394316.6667
1979,406450
1980,419754.1667
1981,428520.8333
1982,432475
1983,444012.5
1984,451379.1667
1985,459412.5
1986,473495.8333
1987,492725
1988,503770.8333
1989,515233.3333
1990,537625
1991,547350
1992,551562.5
1993,556337.5
1994,555745.8333
1995,557045.8333
1996,561691.6667
1997,566766.6667
1998,570150
1999,576308.3333
2000,584858.3333
2001,589220.8333
2002,584358.3333
2003,592470.8333
2004,598179.1667
2005,609833.3333
2006,617808.3333
2007,620100
2008,617641.6667
2009,593858.3333
2010,604516.6667
2011,616462.5
