date,level
1964,33.70000076
1965,34.40000153
1966,35.29999924
1967,36.29999924
1968,37.70000076
1969,39.40000153
1970,41.5
1971,43.20000076
1972,44.59999847
1973,46.59999847
1974,51.5
1975,56.29999924
1976,59.09999847
1977,62.09999847
1978,66.90000153
1979,74.30000305
1980,83
1981,91.69999695
1982,97.19999695
1983,99.30000305
1984,103.45
1985,106.85
1986,109.4
1987,114.9
1988,121.75
1989,128.75
1990,138.15
1991,147.95
1992,155.15
1993,160.1
1994,164.55
1995,168.15
1996,170.75
1997,171.95
1998,171.5
1999,173.25
2000,176.3
2001,178.4
2002,180.25
2003,184.45
2004,190.55
2005,197.8
2006,209.35
2007,219.504
2008,228.8605
2009,230.048
2010,234.869
2011,243.622
