date,level
1971,179.99
1972,235.02
1973,300
1974,400
1975,400.02
1976,440.02
1977,440
1978,524
1979,653.61
1980,658.1
1981,690.4
1982,715
1983,729
1984,816
1985,855.02
1986,944.01
1987,1160.99
1988,1216.77
1989,1360.249122
1990,1492.78584
1991,1438.584653
1992,1705.859528
1993,1666.275369
1994,1819.332323
1995,2048.411012
1996,2146.883345
1997,2216.890367
1998,2004.354232
1999,1825.586803
2000,1817.642752
2001,1528.563475
2002,1483.121493
2003,1340.033647
2004,1482.085258
2005,1517.439286
2006,1362.708185
2007,1296.423
2008,1175.198
2009,1168.079677
2010,1239.305973
2011,1176.546
