date,level
1958,164.8166667
1959,177.125
1960,188.8416667
1961,193.7666667
1962,195.2833333
1963,199.6333333
1964,207.825
1965,219.4333333
1966,232.075
1967,241.6583333
1968,255.4166667
1969,275.7583333
1970,293.7166667
1971,301.5416667
1972,312.7
1973,327.4916667
1974,335.8833333
1975,342.8083333
1976,349.1916667
1977,359.425
1978,377.325
1979,394.0166667
1980,404.1083333
1981,404.7916667
1982,399.3833333
1983,406.2166667
1984,412.6583333
1985,425.75
1986,438.5583333
1987,459.9583333
1988,478.075
1989,505.4583333
1990,528.4416667
1991,539.1166667
1992,542.8166667
1993,538.8
1994,536.1166667
1995,532.8833333
1996,530.7333333
1997,531.6166667
1998,531.2833333
1999,535.025
2000,551.3583333
2001,555
2002,556.7916667
2003,567.6333333
2004,583.4083333
2005,601.6416667
2006,617.1083333
2007,624.875
2008,619.2333333
2009,591.4916667
2010,586.9083333
2011,592.075
