date,level
1929,976.1
1930,892
1931,834.2
1932,725.2
1933,715.8
1934,793.7
1935,864.2
1936,977
1937,1027.1
1938,991.8
1939,1071.9
1940,1165.9
1941,1365
1942,1616.8
1943,1881.5
1944,2033.5
1945,2010.7
1946,1790.7
1947,1774.6
1948,1852.7
1949,1843.1
1950,2004.2
1951,2159.3
1952,2242
1953,2345.2
1954,2330.4
1955,2498.2
1956,2547.6
1957,2598.8
1958,2575.4
1959,2760.1
1960,2828.5
1961,2894.4
1962,3069.8
1963,3204
1964,3389.4
1965,3607
1966,3842.1
1967,3939.2
1968,4129.9
1969,4258.2
1970,4266.3
1971,4409.5
1972,4643.8
1973,4912.8
1974,4885.7
1975,4875.4
1976,5136.9
1977,5373.1
1978,5672.8
1979,5850.1
1980,5834
1981,5982.1
1982,5865.9
1983,6130.9
1984,6571.5
1985,6843.4
1986,7080.5
1987,7307
1988,7607.4
1989,7879.2
1990,8027.1
1991,8008.3
1992,8280
1993,8516.2
1994,8863.1
1995,9086
1996,9425.8
1997,9845.9
1998,10274.7
1999,10770.7
2000,11216.4
2001,11337.5
2002,11543.1
2003,11836.4
2004,12246.9
2005,12623
2006,12958.5
2007,13206.4
2008,13161.9
2009,12757.9
2010,13063
2011,13299.1
