date,level
1969,85458.77842
1970,93328.36145
1971,97462.7992
1972,104031.887
1973,110700.5616
1974,115159.3592
1975,114957.2307
1976,118985.5022
1977,122959.8742
1978,126488.6369
1979,129126.0108
1980,132845.6024
1981,130515.1516
1982,130662.8745
1983,141581.909
1984,148138.3374
1985,151706.6542
1986,156592.2669
1987,159103.168
1988,164041.4127
1989,172453.833
1990,175851.9073
1991,174894.7482
1992,179329.5198
1993,179959.3129
1994,179318.2012
1995,179079.7859
1996,178031.1449
1997,182446.0134
1998,188099.1662
1999,191883.0823
2000,199782.5468
2001,201437.7915
2002,207908.172
2003,211613.0279
2004,221910.5537
2005,229181.7341
2006,234648.0201
2007,239427.6961
2008,241691.9652
2009,237512.8451
2010,241186.0441
2011,242958.2919
