date,level
1976,9.25
1977,7.733333333
1978,6.691666667
1979,5.65
1980,4.808333333
1981,5.15
1982,5.933333333
1983,5.908333333
1984,5.4
1985,5.041666667
1986,4.508333333
1987,3.641666667
1988,3.041666667
1989,2.391666667
1990,2.425
1991,2.775
1992,4.241666667
1993,4.366666667
1994,5.133333333
1995,5.508333333
1996,5.875
1997,5.791666667
1998,5.65
1999,4.991666667
2000,3.95
2001,4.233333333
2002,4.033333333
2003,3.869866667
2004,3.241666667
2005,2.741666667
2006,2.491666667
2007,2.683333333
2008,4.1
2009,6.908333333
2010,6.866666667
2011,6.7
