year,variable,fhb,uhero,dbedt,actual
2002,Visitor Arrivals,2.5,2,3,1.4
2003,Visitor Arrivals,5,4.6,6.1,-0.1
2004,Visitor Arrivals,3,8.7,6,8.3
2005,Visitor Arrivals,3,3.6,3,7.3
2006,Visitor Arrivals,3,2.4,2.9,1.5
2007,Visitor Arrivals,2.4,2,2.5,0.4
2008,Visitor Arrivals,1.5,0.3,1,10.4
2009,Visitor Arrivals,-5,-5.7,-1.9,4.4
2010,Visitor Arrivals,1.7,3.7,2,7.7
2011,Visitor Arrivals,4.5,3.8,4.1,3.7
2012,Visitor Arrivals,2.6,2.7,3.4,9.6
2002,Personal Income,0.7,0.8,,3.2
2003,Personal Income,3,2.3,2.4,1.8
2004,Personal Income,2.7,3.2,3.4,4.9
2005,Personal Income,3.1,2.5,2.6,3.3
2006,Personal Income,3.1,2.7,2.8,2.4
2007,Personal Income,2,1.8,2.3,2
2008,Personal Income,1.5,1.9,1.8,1
2009,Personal Income,-1.5,-0.7,-0.4,-2.5
2010,Personal Income,0.5,-0.3,0,0.9
2011,Personal Income,1,2.3,1,1.9
2002,Inflation,1.3,0.9,1.3,1.1
2003,Inflation,1.5,2,1.7,2.3
2004,Inflation,2.1,2.5,2,3.3
2005,Inflation,3.7,3.8,3.1,3.8
2006,Inflation,4,3.9,3.3,5.9
2007,Inflation,4.5,4.4,3.6,4.8
2008,Inflation,4,3.8,3.8,4.3
2009,Inflation,3.5,2.5,2.6,0.5
2010,Inflation,1,1.4,1.5,2.1
2011,Inflation,2,1.4,2.2,3.7
2002,Job Growth,-0.5,-0.9,,0.3
2003,Job Growth,1.5,0.7,,2
2004,Job Growth,2,2,,2.8
2005,Job Growth,2.2,1.8,,3.1
2006,Job Growth,2,1.8,,2.6
2007,Job Growth,2,1.5,,1.3
2008,Job Growth,1,1.6,,-0.9
2009,Job Growth,-1.2,-1.4,,-4.5
2010,Job Growth,-0.5,-1,,-0.8
2011,Job Growth,1,1.3,,0.9
2006,Unemployment Rate,2.5,2.7,,2.5
2007,Unemployment Rate,3,2.9,,2.7
2008,Unemployment Rate,2.8,2.8,,4.1
2009,Unemployment Rate,5.5,5.8,,6.9
2010,Unemployment Rate,7.5,7.3,,6.9
2011,Unemployment Rate,5,5.9,,6.7
