org,variable,bias,mae,mpe,mape,rmse,mase
fhb,Visitor Arrivals,-2.763636364,4.672727273,-4.520562284,5.793640557,5.504213262,1.045952589
uhero,Visitor Arrivals,-2.409090909,3.918181818,-4.264354273,5.192316314,5.285572129,0.811074952
dbedt,Visitor Arrivals,-2.045454545,4.172727273,-5.37760076,6.729291411,4.956996891,0.946717309
fhb,Personal Income,-0.033333333,0.788888889,-0.04104233,0.365116405,1.003333333,0.435582822
uhero,Personal Income,0,0.866666667,-0.13659914,0.472888938,1.062222222,0.478527607
dbedt,Personal Income,0.022222222,0.911111111,-0.153547541,0.475769764,1.113333333,0.503067485
fhb,Inflation,-0.42,1.06,0.400646962,0.835716675,1.379130161,0.711940299
uhero,Inflation,-0.52,0.92,0.195177238,0.604822762,1.223110788,0.617910448
dbedt,Inflation,-0.67,1.13,0.204472197,0.671891439,1.343502884,0.758955224
fhb,Job Growth,0.27,0.99,-0.629334456,0.759248986,1.333791588,14.85
uhero,Job Growth,0.06,1.18,-0.82811375,0.99777187,1.489966443,17.7
fhb,Unemployment Rate,-0.583333333,0.883333333,-0.095939239,0.161961783,1.079351657,1.051587302
uhero,Unemployment Rate,-0.4,0.666666667,-0.063975226,0.134656922,0.793725393,0.793650794
