Forecast,yeardiff,qdiff,qnum,Year,Forecast Year,Forecast Quarter,Visitors,US Visitors,JP Visitors,Payroll Jobs,Employment,Unemployment Rate,Inflation,Real Personal Income,Other Visitors,Real GDP
12Q3,2,7,3,2010,2012,Q3,7.732,5.947,6.098,-0.765,1.795,6.858,2.096,1.535,17.555,0.002
12Q3,1,3,3,2011,2012,Q3,3.509,2.25,-5.064,0.926,1.976,6.692,3.727,0.918,17.803,-1.547
12Q3,0,-1,3,2012,2012,Q3,9.322,5.482,16.156,1.315,0.111,6.198,2.973,1.423,16.573,1.053
12Q3,-1,-5,3,2013,2012,Q3,3.037,1.697,2.3,2.439,1.646,5.55,2.463,2.113,7.856,2.382
12Q3,-2,-9,3,2014,2012,Q3,1.194,1.075,-0.226,2.219,1.704,4.976,2.941,2.519,2.718,3.067
12Q3,-3,-13,3,2015,2012,Q3,0.729,1.012,-0.878,1.824,1.381,4.604,2.466,2.309,1.199,3.175
12Q2,3,10,2,2009,2012,Q2,-4.364,-3.864,-0.606,-4.517,-3.851,6.9,0.519,-1.724,-10.481,-1.556
12Q2,2,6,2,2010,2012,Q2,7.732,5.947,6.098,-0.765,1.795,6.858,2.096,1.535,17.555,-0.059
12Q2,1,2,2,2011,2012,Q2,3.509,2.25,-5.064,0.926,1.976,6.692,3.727,0.738,17.803,1.336
12Q2,0,-2,2,2012,2012,Q2,5.174,2.039,6.697,1.453,1.009,6.125,3.164,1.49,14.64,2.168
12Q2,-1,-6,2,2013,2012,Q2,2.453,1.83,1.97,2.249,2.154,5.42,2.501,2.656,4.755,3.125
12Q2,-2,-10,2,2014,2012,Q2,1.717,1.839,-0.146,2.182,1.624,4.882,2.568,2.896,2.83,3.562
12Q1,3,9,1,2009,2012,Q1,-4.364,-3.864,-0.606,-4.482,-4.096,6.8,0.519,-1.429,-10.481,-1.556
12Q1,2,5,1,2010,2012,Q1,7.732,5.947,6.098,-0.814,-0.213,6.608,2.096,1.557,17.555,-0.059
12Q1,1,1,1,2011,2012,Q1,3.468,2.25,-5.292,1.245,0.983,6.275,3.727,0.446,17.803,1.146
12Q1,0,-3,1,2012,2012,Q1,5.121,2.121,6.772,1.662,1.266,6.238,2.703,1.747,14.017,2.265
12Q1,-1,-7,1,2013,2012,Q1,2.347,1.871,2.498,2.282,2.558,5.495,2.117,2.899,3.694,3.32
12Q1,-2,-11,1,2014,2012,Q1,1.936,1.827,0.649,2.198,2.124,4.937,1.952,3.027,3.307,3.72
11Q4,2,8,4,2009,2011,Q4,-4.364,-3.864,-0.606,-4.482,-4.096,6.8,0.519,-1.429,-10.481,-1.556
11Q4,1,4,4,2010,2011,Q4,8.753,7.298,6.113,-0.814,-0.23,6.608,2.096,1.557,18.333,-0.059
11Q4,0,0,4,2011,2011,Q4,2.138,0.754,-6.553,1.169,1.563,5.993,3.206,1.315,17.032,1.708
11Q4,-1,-4,4,2012,2011,Q4,2.672,1.288,5.434,1.722,1.477,5.471,1.64,0.907,5.052,2.102
11Q4,-2,-8,4,2013,2011,Q4,1.879,1.343,0.512,2.101,1.827,5.012,2.053,2.085,4.837,2.999
11Q4,-3,-12,4,2014,2011,Q4,1.955,1.434,0.801,1.866,1.861,4.627,1.662,2.25,4.58,3.422
11Q3,2,7,3,2009,2011,Q3,-4.364,-3.864,-0.606,-4.482,-4.096,6.8,0.519,-0.705,-10.481,-1.556
11Q3,1,3,3,2010,2011,Q3,8.753,7.298,6.113,-0.814,-0.23,6.608,2.096,0.026,18.333,-0.059
11Q3,0,-1,3,2011,2011,Q3,1.731,1.135,-9.338,1.106,1.521,6.004,3.131,1.231,16.037,1.654
11Q3,-1,-5,3,2012,2011,Q3,2.289,0.888,5.514,1.46,1.235,5.529,1.598,0.736,4.45,1.971
11Q3,-2,-9,3,2013,2011,Q3,2.152,1.517,0.872,1.871,1.598,5.104,2.235,1.871,5.371,2.811
11Q3,-3,-13,3,2014,2011,Q3,2.116,1.615,0.823,1.945,1.938,4.69,1.977,2.212,4.794,3.329
11Q2,3,10,2,2008,2011,Q2,-10.45,-13.483,-9.351,-0.862,-0.662,4.067,4.263,-0.166,3.008,-1.456
11Q2,2,6,2,2009,2011,Q2,-4.364,-3.864,-0.606,-4.482,-4.096,6.8,0.519,-0.705,-10.481,-0.077
11Q2,1,2,2,2010,2011,Q2,8.755,7.235,5.281,-0.814,-0.23,6.608,2.096,0.104,19.623,0.904
11Q2,0,-2,2,2011,2011,Q2,2.661,4.735,-10.77,1.622,1.313,6.009,1.919,2.09,8.68,2.556
11Q2,-1,-6,2,2012,2011,Q2,3.045,1.479,10.312,2.191,2.272,5.327,2.267,2.277,2.693,3.286
11Q2,-2,-10,2,2013,2011,Q2,1.761,1.007,3.193,2.311,2.346,4.788,2.21,2.73,3.257,3.83
11Q1,3,9,1,2008,2011,Q1,-10.45,-13.483,-9.351,-0.899,-0.503,4.058,4.263,-0.253,3.008,-1.456
11Q1,2,5,1,2009,2011,Q1,-4.364,-3.864,-0.606,-4.417,-4.11,6.767,0.519,-0.725,-10.481,-0.077
11Q1,1,1,1,2010,2011,Q1,8.23,6.438,4.493,-0.389,-0.207,6.558,1.729,0.176,20.612,0.951
11Q1,0,-3,1,2011,2011,Q1,3.362,3.319,0.638,1.391,1.161,5.97,1.431,2.221,6.365,2.659
11Q1,-1,-7,1,2012,2011,Q1,1.923,1.959,0.894,1.991,2.321,5.255,2.638,2.419,2.797,3.416
11Q1,-2,-11,1,2013,2011,Q1,1.906,1.961,0.845,2.045,2.019,4.59,2.502,2.589,2.727,3.786
10Q4,2,8,4,2008,2010,Q4,-10.45,-13.483,-9.351,-0.899,-0.503,4.058,4.263,-0.253,3.008,-1.456
10Q4,1,4,4,2009,2010,Q4,-4.364,-3.864,-0.606,-4.417,-4.11,6.767,0.519,-0.725,-10.481,-0.077
10Q4,0,0,4,2010,2010,Q4,8.19,6.438,4.288,-0.457,-0.095,6.533,1.704,0.333,20.596,1.052
10Q4,-1,-4,4,2011,2010,Q4,3.796,3.666,2.018,1.282,1.41,5.893,1.37,2.286,6.147,2.738
10Q4,-2,-8,4,2012,2010,Q4,1.639,1.227,1.526,1.821,1.792,5.347,2.932,2.407,3.318,3.437
10Q4,-3,-12,4,2013,2010,Q4,1.919,1.588,1.061,1.814,1.786,4.887,2.786,2.616,3.993,3.81
10Q3,2,7,3,2008,2010,Q3,-10.45,-13.483,-9.351,-0.899,-0.503,4.058,4.263,-0.556,3.008,-1.261
10Q3,1,3,3,2009,2010,Q3,-4.364,-3.864,-0.606,-4.417,-4.11,6.767,0.519,-0.276,-10.481,-0.66
10Q3,0,-1,3,2010,2010,Q3,6.726,5.25,4.073,-0.187,0.037,6.579,1.788,0.416,16.408,0.018
10Q3,-1,-5,3,2011,2010,Q3,2.645,2.24,3.974,1.298,1.151,6.047,1.579,1.333,2.829,0.87
10Q3,-2,-9,3,2012,2010,Q3,1.915,1.447,1.289,1.252,1.233,5.56,2.983,2.13,4.45,1.708
10Q2,2,6,2,2008,2010,Q2,-10.45,-13.483,-9.351,-0.899,-0.503,4.058,4.263,-0.556,3.008,
10Q2,1,2,2,2009,2010,Q2,-4.384,-3.878,-4.939,-4.417,-4.11,6.767,0.519,-0.083,-5.858,
10Q2,0,-2,2,2010,2010,Q2,3.969,2.149,4.928,-0.718,-0.4,6.817,1.593,-0.406,10.54,
10Q2,-1,-6,2,2011,2010,Q2,2.236,1.67,4.803,0.942,0.875,6.331,1.112,1.089,1.76,
10Q2,-2,-10,2,2012,2010,Q2,3.104,2.593,3.184,1.354,1.327,5.774,2.509,2.014,4.994,
10Q1,2,5,1,2008,2010,Q1,-10.45,-13.483,-9.351,-0.899,-0.503,4.058,4.263,-0.556,3.008,
10Q1,1,1,1,2009,2010,Q1,-4.384,-3.878,-4.939,-4.417,-4.11,6.767,0.519,0.185,-5.858,
10Q1,0,-3,1,2010,2010,Q1,2.944,0.976,8.113,-0.761,-0.608,6.92,1.933,-0.105,5.534,
10Q1,-1,-7,1,2011,2010,Q1,3.086,3.223,0.86,0.916,0.809,6.436,1.12,0.954,5.028,
10Q1,-2,-11,1,2012,2010,Q1,2.331,1.927,1.113,1.248,1.229,5.875,2.43,1.899,5.232,
09Q4,1,4,4,2008,2009,Q4,-10.397,-13.483,-9.047,-0.901,-0.075,3.95,4.263,-0.556,3.008,
09Q4,0,0,4,2009,2009,Q4,-4.209,-3.509,-4.461,-3.637,-4.387,7.049,-0.535,-0.248,-6.805,
09Q4,-1,-4,4,2010,2009,Q4,3.744,3.187,4.907,-0.996,-0.005,7.301,1.35,-0.277,4.816,
09Q4,-2,-8,4,2011,2009,Q4,3.71,3.331,2.958,1.318,1.138,6.664,1.493,1.079,6.132,
09Q4,-3,-12,4,2012,2009,Q4,3.31,2.76,2.597,2.114,1.965,5.935,1.946,1.879,6.319,
09Q3,1,3,3,2008,2009,Q3,-10.397,-13.483,-9.047,-0.901,-0.075,3.95,4.263,-0.229,3.008,
09Q3,0,-1,3,2009,2009,Q3,-4.436,-3.296,-4.078,-3.034,-4.472,7.365,-0.408,-1.128,-9.499,
09Q3,-1,-5,3,2010,2009,Q3,3.246,2.701,3.287,-0.791,0.816,8.074,0.773,-0.228,5.584,
09Q3,-2,-9,3,2011,2009,Q3,3.06,2.322,2.056,0.876,0.95,7.474,1.36,1.504,7.34,
09Q3,-3,-13,3,2012,2009,Q3,3.999,3.477,3.467,1.857,1.638,6.614,1.423,2.081,6.691,
09Q2,2,6,2,2007,2009,Q2,-0.416,-0.523,-4.876,1.261,0.294,2.633,4.85,1,6.273,
09Q2,1,2,2,2008,2009,Q2,-10.585,-13.498,-10.167,-0.901,-0.075,3.95,4.263,-0.195,3.122,
09Q2,0,-2,2,2009,2009,Q2,-6.784,-3.221,-13.757,-2.937,-4.594,7.366,0.52,-2.721,-13.904,
09Q2,-1,-6,2,2010,2009,Q2,3.142,1.704,5.702,-0.63,0.787,8.058,0.294,-0.634,7.015,
09Q2,-2,-10,2,2011,2009,Q2,2.786,2.352,0.486,0.811,0.902,7.467,1.224,1.796,7.125,
09Q1,2,5,1,2007,2009,Q1,-0.416,-0.523,-4.876,1.261,0.294,2.633,4.85,1.002,6.273,
09Q1,1,1,1,2008,2009,Q1,-10.636,-13.498,-10.467,-0.901,-0.075,3.95,4.263,-0.592,3.122,
09Q1,0,-3,1,2009,2009,Q1,-5.209,-3.342,-10.152,-2.354,-2.484,6.96,0.527,-2.473,-7.579,
09Q1,-1,-7,1,2010,2009,Q1,0.009,0.948,-7.801,-0.321,0.432,7.6,0.667,-0.213,4.097,
